lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_confidence_tier,mv_model_version,mv_generated_at
540900,1782179,2096,849,1,Colt,NZBKSS26-849,Noverre,10000.0,1.143016311644859,0.3366147628136918,1.7160123948393806,11400.0,3400.0,17200.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540901,1766958,2096,850,1,Filly,NZBNWG25-37,Santos,10000.0,0.5678889965328164,0.3550909107615397,1.0325166622713213,5700.0,3600.0,10300.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540904,1782180,2096,851,1,Colt,NZBKSS26-851,Embellish,10000.0,0.35008773432391715,0.2152682329635663,0.7072648649315364,3500.0,2200.0,7100.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540905,1782181,2096,852,1,Colt,NZBKSS26-852,Preferment,10000.0,0.6746909139880253,0.3170146979750842,0.9530573304940647,6700.0,3200.0,9500.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540906,1782182,2096,853,1,Filly,NZBKSS26-853,Armory,10000.0,0.7935896981393844,0.3698271452434074,1.6571270885686589,7900.0,3700.0,16600.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540907,1782183,2096,854,1,Colt,NZBKSS26-854,Tarzino,10000.0,0.47056323634199804,0.3035824941102593,1.1888082209586102,4700.0,3000.0,11900.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540908,1782184,2096,855,1,Filly,NZBKSS26-855,Ace High,10000.0,1.0578359937676942,0.5667420423433248,1.8164426839100196,10600.0,5700.0,18200.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540909,1782185,2096,856,1,Filly,NZBKSS26-856,Noverre,10000.0,1.5815560816513012,0.7809577194236534,1.8934393989862262,15800.0,7800.0,18900.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540910,1782186,2096,857,1,Colt,NZBKSS26-857,Ardrossan,10000.0,0.841624705051965,0.4488155469871512,1.6236354255465175,8400.0,4500.0,16200.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540912,1766965,2096,858,1,Colt,NZBNWG25-44,Almanzor,10000.0,0.7777760556305818,0.3251306188363116,2.2511584475067514,7800.0,3300.0,22500.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540913,1782187,2096,859,1,Colt,NZBKSS26-859,Ribchester,10000.0,0.4082951351151525,0.18759353756003916,0.816932919520918,4100.0,1900.0,8200.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540914,1782188,2096,860,1,Colt,NZBKSS26-860,Banquo,10000.0,0.39716097629407693,0.2458912014631839,0.8255280484108053,4000.0,2500.0,8300.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540915,1766970,2096,861,1,Colt,NZBNWG25-50,Profondo,10000.0,0.484670366452671,0.2881676151953001,1.283995663392001,4800.0,2900.0,12800.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540916,1782189,2096,862,1,Colt,NZBKSS26-862,The Bold One,10000.0,0.4372056201866367,0.2698658660251345,0.8360764062302853,4400.0,2700.0,8400.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540917,1782190,2096,863,1,Colt,NZBKSS26-863,Sword Of State,10000.0,0.9782452031644858,0.4672735907499376,1.8731235479504624,9800.0,4700.0,18700.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540919,1782198,2096,864,1,Colt,NZBKSS26-864,The Bold One,10000.0,0.4372056201866367,0.2698658660251345,0.8360764062302853,4400.0,2700.0,8400.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540920,1782199,2096,865,1,Filly,NZBKSS26-865,Noverre,10000.0,1.5662188306223923,0.6903327245341868,2.176823677220159,15700.0,6900.0,21800.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540921,1782200,2096,866,1,Colt,NZBKSS26-866,Ardrossan,10000.0,0.8211696912663979,0.4405196208286967,1.601719247503861,8200.0,4400.0,16000.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540922,1782201,2096,867,1,Colt,NZBKSS26-867,Ardrossan,10000.0,0.7759464647639566,0.4166054372461886,1.3328634091732388,7800.0,4200.0,13300.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540923,1782202,2096,868,1,Colt,NZBKSS26-868,Time Test,10000.0,0.40379151167218436,0.2855452067089149,0.7289658717708906,4000.0,2900.0,7300.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540924,1782203,2096,869,1,Filly,NZBKSS26-869,Satono Aladdin,10000.0,1.754030019092971,0.7683313539349546,3.1978317398747147,17500.0,7700.0,32000.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540925,1782204,2096,870,1,Colt,NZBKSS26-870,King Of Comedy,10000.0,0.35377577994443665,0.16264732639427917,0.7818435295458172,3500.0,1600.0,7800.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540926,1782205,2096,871,1,Filly,NZBKSS26-871,Ribchester,10000.0,1.0636021473262172,0.521884301930854,1.625088536377501,10600.0,5200.0,16300.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540927,1782206,2096,872,1,Colt,NZBKSS26-872,Armory,10000.0,0.44271179135703836,0.25851375589415576,0.9522104210618498,4400.0,2600.0,9500.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540928,1782207,2096,873,1,Filly,NZBKSS26-873,Hello Youmzain,10000.0,1.0536160019654872,0.5021472649775737,2.346748045615381,10500.0,5000.0,23500.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540929,1782208,2096,874,1,Filly,NZBKSS26-874,Embellish,10000.0,0.42097086188122246,0.2549370906532663,0.8032620227471671,4200.0,2500.0,8000.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540930,1766985,2096,875,1,Colt,NZBNWG25-67,Staphanos,10000.0,0.6527592264281009,0.16433132779197238,0.8701781770513516,6500.0,1600.0,8700.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540931,1782209,2096,876,1,Filly,NZBKSS26-876,Sweynesse,10000.0,0.3764448168636316,0.25170246469676555,1.0223447315733596,3800.0,2500.0,10200.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540932,1782210,2096,877,1,Filly,NZBKSS26-877,Time Test,10000.0,0.4443906003905245,0.28490009704184255,0.8706975058058614,4400.0,2800.0,8700.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540933,1782319,2096,878,1,Colt,NZBKSS26-878,Profondo,10000.0,0.3843400401204036,0.21528290790462556,0.9400236239620181,3800.0,2200.0,9400.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540934,1782211,2096,879,1,Colt,NZBKSS26-879,Ace High,10000.0,0.4670992595055348,0.26562135548991456,0.8913538634885421,4700.0,2700.0,8900.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540935,1782212,2096,880,1,Colt,NZBKSS26-880,Tivaci,10000.0,0.41399308763655074,0.24614629112199954,1.1183196015716714,4100.0,2500.0,11200.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540936,1766990,2096,881,1,Filly,NZBNWG25-72,King Of Comedy,10000.0,1.0658457157418326,0.4157433946690631,1.985376923968932,10700.0,4200.0,19900.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540937,1782318,2096,882,1,Colt,NZBKSS26-882,Victor Ludorum,10000.0,0.315110629017991,0.10215703470415703,0.8464385629868366,3200.0,1000.0,8500.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540938,1782213,2096,883,1,Colt,NZBKSS26-883,Santos,10000.0,0.41115079611024635,0.28999946275806954,1.2016694358574764,4100.0,2900.0,12000.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540939,1782214,2096,884,1,Colt,NZBKSS26-884,U S Navy Flag,10000.0,0.43326821089300244,0.2790838134516483,0.9573129771071521,4300.0,2800.0,9600.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540940,1782215,2096,885,1,Filly,NZBKSS26-885,Ace High,10000.0,0.602621076351409,0.4355098388172934,1.0492962499526943,6000.0,4400.0,10500.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540941,1782216,2096,886,1,Colt,NZBKSS26-886,Eminent,10000.0,0.4771070432462781,0.24451454591504584,0.7348444370922945,4800.0,2400.0,7300.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540942,1782320,2096,887,1,Colt,NZBKSS26-887,Derryn,10000.0,0.5323961769327178,0.34279832835926766,1.0560308743303697,5300.0,3400.0,10600.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540943,1782217,2096,888,1,Filly,NZBKSS26-888,Ardrossan,10000.0,0.9356604783214901,0.47980525557077697,1.9979712611543081,9400.0,4800.0,20000.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540944,1782218,2096,889,1,Colt,NZBKSS26-889,Swiss Ace,10000.0,0.33914925579490085,0.2110740246119788,0.8224495083281284,3400.0,2100.0,8200.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540945,1782219,2096,890,1,Colt,NZBKSS26-890,Reliable Man,10000.0,0.38172115016468466,0.20392392932279,0.730465966891415,3800.0,2000.0,7300.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540946,1782220,2096,891,1,Colt,NZBKSS26-891,Derryn,10000.0,0.42846773367539687,0.27008077669544955,0.8851919707816435,4300.0,2700.0,8900.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540947,1782221,2096,892,1,Filly,NZBKSS26-892,Redwood,10000.0,0.8956396756640156,0.48804557257076076,1.7921252434068171,9000.0,4900.0,17900.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540948,1782222,2096,893,1,Filly,NZBKSS26-893,Turn Me Loose,10000.0,0.5744800316066166,0.3936587700199238,1.0127953075259986,5700.0,3900.0,10100.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540949,1782223,2096,894,1,Colt,NZBKSS26-894,Tarzino,10000.0,0.4239479381595318,0.19508620959272488,1.0413015265605265,4200.0,2000.0,10400.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540950,1782224,2096,895,1,Colt,NZBKSS26-895,Armory,10000.0,0.367916329996837,0.1415629860178435,0.8481013107515878,3700.0,1400.0,8500.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540951,1782225,2096,896,1,Colt,NZBKSS26-896,Divine Prophet,10000.0,0.45158986453333555,0.2933254233707685,1.0461070565489068,4500.0,2900.0,10500.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540952,1782226,2096,897,1,Colt,NZBKSS26-897,Shocking,10000.0,0.6260383352720216,0.3065047619387855,1.1922524658726228,6300.0,3100.0,11900.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540953,1782227,2096,898,1,Colt,NZBKSS26-898,Derryn,10000.0,0.42846773367539687,0.27008077669544955,0.8851919707816435,4300.0,2700.0,8900.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540954,1782228,2096,899,1,Colt,NZBKSS26-899,Staphanos,10000.0,0.6378541060150518,0.22916361366241397,0.8448868582542419,6400.0,2300.0,8400.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540955,1782229,2096,900,1,Colt,NZBKSS26-900,Armory,10000.0,0.3798951397551864,0.2183021455741845,0.9595094827535285,3800.0,2200.0,9600.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540956,1782230,2096,901,1,Colt,NZBKSS26-901,Staphanos,10000.0,0.3650869387686348,0.17453839709935418,0.6742810320284752,3700.0,1700.0,6700.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540957,1782231,2096,902,1,Colt,NZBKSS26-902,The Chosen One,10000.0,0.6770130917936616,0.23397532937165688,1.1247882561453018,6800.0,2300.0,11200.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540958,1782232,2096,903,1,Colt,NZBKSS26-903,Preferment,10000.0,0.5470145510535875,0.2824393156217105,0.8411953500284173,5500.0,2800.0,8400.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540959,1782233,2096,904,1,Colt,NZBKSS26-904,Vanbrugh,10000.0,0.32666553666745307,0.21913295361194218,0.6913847856401534,3300.0,2200.0,6900.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540960,1782234,2096,905,1,Colt,NZBKSS26-905,Ribchester,10000.0,0.502099829695897,0.21296384886620762,1.0306920235541783,5000.0,2100.0,10300.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540961,1782235,2096,906,1,Colt,NZBKSS26-906,Zed,10000.0,0.38717955227129985,0.271999775581452,0.7530059991111265,3900.0,2700.0,7500.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540962,1782236,2096,907,1,Filly,NZBKSS26-907,Hanseatic,10000.0,0.7863272620549214,0.4840084237261062,2.430239895531459,7900.0,4800.0,24300.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540963,1782322,2096,908,1,Colt,NZBKSS26-908,Santos,10000.0,0.41115079611024635,0.28999946275806954,1.2016694358574764,4100.0,2900.0,12000.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540964,1782237,2096,909,1,Colt,NZBKSS26-909,Santos,10000.0,0.41115079611024635,0.28999946275806954,1.2016694358574764,4100.0,2900.0,12000.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540965,1782238,2096,910,1,Colt,NZBKSS26-910,Armory,10000.0,0.621666394860083,0.36121244533915375,1.2431933291225767,6200.0,3600.0,12400.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540966,1782239,2096,911,1,Filly,NZBKSS26-911,Ardrossan,10000.0,0.9756475339752805,0.46807492749091123,1.8598819337848682,9800.0,4700.0,18600.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540967,1782240,2096,912,1,Colt,NZBKSS26-912,Per Incanto,10000.0,1.4794353684409007,0.5741651507137145,2.8356703719999445,14800.0,5700.0,28400.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540968,1767007,2096,913,1,Filly,NZBNWG25-90,Noverre,10000.0,1.8519563332904434,0.8315189746288353,2.4879265394441217,18500.0,8300.0,24900.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540969,1782241,2096,914,1,Colt,NZBKSS26-914,Derryn,10000.0,0.45813911010524144,0.29314503206344267,1.0085330971931992,4600.0,2900.0,10100.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540970,1782242,2096,915,1,Filly,NZBKSS26-915,Sword Of State,10000.0,1.0381633866924076,0.49668936482214116,2.3009508398761453,10400.0,5000.0,23000.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540971,1767008,2096,916,1,Colt,NZBNWG25-92,Santos,10000.0,0.6148194042950044,0.4106698746187242,1.3985689706246034,6100.0,4100.0,14000.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540972,1782243,2096,917,1,Filly,NZBKSS26-917,Swiss Ace,10000.0,0.3859051536307793,0.27951256390136875,1.0667944828048814,3900.0,2800.0,10700.0,low,v2.0,2025-12-15 10:16:12.024266+00:00
540973,1782244,2096,918,1,Colt,NZBKSS26-918,Circus Maximus,10000.0,0.4632488618810842,0.2662450617650143,1.0897912028520904,4600.0,2700.0,10900.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540974,1782245,2096,919,1,Colt,NZBKSS26-919,Time Test,10000.0,0.6124594500134655,0.38657682200271914,1.0407663986828393,6100.0,3900.0,10400.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540975,1782246,2096,920,1,Colt,NZBKSS26-920,Redwood,10000.0,0.6499215684632915,0.329300768578832,1.4962279800492628,6500.0,3300.0,15000.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540976,1782247,2096,921,1,Filly,NZBKSS26-921,Armory,10000.0,0.45129610150355676,0.28523203091143806,0.9745731674016316,4500.0,2900.0,9700.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540977,1782248,2096,922,1,Filly,NZBKSS26-922,Armory,10000.0,0.901059105737192,0.41430844422718965,1.8473432896588056,9000.0,4100.0,18500.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540978,1782249,2096,923,1,Filly,NZBKSS26-923,Tarzino,10000.0,0.6699696656869858,0.3191568358023398,1.327028040018455,6700.0,3200.0,13300.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540979,1782250,2096,924,1,Filly,NZBKSS26-924,El Roca,10000.0,1.1781124770069298,0.6656802620622833,1.7816834731232836,11800.0,6700.0,17800.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540980,1782251,2096,925,1,Colt,NZBKSS26-925,Derryn,10000.0,0.5813212903484045,0.3566216276515691,1.1177914619951022,5800.0,3600.0,11200.0,high,v2.0,2025-12-15 10:16:12.024266+00:00
540981,1782252,2096,926,1,Colt,NZBKSS26-926,Zed,10000.0,0.38717955227129985,0.271999775581452,0.7530059991111265,3900.0,2700.0,7500.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
540982,1782253,2096,927,1,Filly,NZBKSS26-927,Sword Of State,10000.0,1.1718327696867121,0.5404627082788414,2.1920727392162225,11700.0,5400.0,21900.0,medium,v2.0,2025-12-15 10:16:12.024266+00:00
